Key,english,german,french,italian,spanish,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ck_active_triggers_desc,Only enabled triggers can cause cinematics,Nur aktivierte Trigger können Zwischensequenzen auslösen.,Seuls les déclencheurs activés peuvent provoquer des cinématiques.,Solo i trigger abilitati possono causare filmati,Solo los activadores habilitados pueden provocar cinemáticas,有効なトリガーのみがシネマティックを発生させます,활성화된 트리거만 시네마틱 영상을 재생할 수 있습니다.,Tylko włączone wyzwalacze mogą powodować przerywniki filmowe,Somente gatilhos ativados podem ativar cenas cinematográficas.,Только активированные триггеры могут запускать кинематографические сцены.,Yalnızca etkinleştirilmiş tetikleyiciler sinematiklere neden olabilir.,只有启用的触发器才能触发过场动画。,只有啟用的觸發器才能觸發過場動畫。
ck_all_cinematics_disabled,All cinematic effects are disabled.,Alle filmischen Effekte sind deaktiviert.,Tous les effets cinématiques sont désactivés.,Tutti gli effetti cinematografici sono disattivati.,Todos los efectos cinematográficos están desactivados.,すべての映画的効果が無効になります。,모든 영화적 효과가 비활성화되었습니다.,Wszystkie efekty filmowe są wyłączone.,Todos os efeitos cinematográficos estão desativados.,Все кинематографические эффекты отключены.,Tüm sinematik efektler devre dışı bırakıldı.,所有电影特效均已禁用。,所有電影特效均已停用。
ck_apply_to_bk,Basic Kill,Standardkill,Tuer de base,Uccisione di base,Muerte básica,基本的なキル,기본 처치,Podstawowe zabójstwo,Eliminação Básica,Базовое убийство,Temel Öldürme,基本击杀,基本擊殺
ck_apply_to_triggers,Triggers,Auslöser,Déclencheurs,Trigger,Desencadenantes,トリガー,트리거,Wyzwalacze,Gatilhos,Триггеры,Tetikleyiciler,触发器,觸發器
ck_auto,Auto,Auto,Auto,Auto,Auto,オート,자동,Automatyczny,Auto,Авто,Otomatik,汽车,汽車
ck_basic_kill_fp,BASIC KILL,GRUNDLEGENDER TÖTUNG,MORT DE BASE,UCCISIONE DI BASE,ASESINATO BÁSICO,基本キル,기본 킬,ZABICIE PODSTAWOWE,ATAQUE BÁSICO,БАЗОВОЕ УБИЙСТВО,TEMEL ÖLDÜRME,基本击杀,基本擊殺
ck_basic_kill_label,Basic Kill:,Einfacher Kill:,Mise à mort de base :,Uccisione di base:,Muerte básica:,基本的なキル:,기본 처치:,Podstawowe zabójstwo:,Eliminação básica:,Базовое убийство:,Temel Öldürme:,基本击杀：,基本擊殺：
ck_bk_disabled_hint,Basic Kill is disabled in Main tab,Die Option „Basis-Tötung“ ist im Hauptmenü deaktiviert.,L'option « Tir de base » est désactivée dans l'onglet principal.,L'uccisione di base è disabilitata nella scheda principale,La eliminación básica está deshabilitada en la pestaña principal,メインタブで基本キルが無効になっています,메인 탭에서 기본 처치 기능이 비활성화되어 있습니다.,Funkcja Basic Kill jest wyłączona w zakładce głównej,O Abate Básico está desativado na aba Principal.,Функция «Базовое убийство» отключена на вкладке «Основное».,Ana sekmede Temel Sonlandırma devre dışı bırakılmıştır.,主选项卡中已禁用基本击杀,主選項卡中已停用基本擊殺
ck_blood,Blood,Blut,Sang,Sangue,Sangre,血,피,Krew,Sangue,Кровь,Kan,血,血
ck_both,Both,Beide,Les deux,Entrambi,Ambos,両方,둘 다,Obydwa,Ambos,Оба,İkisi birden,两个都,兩個都
ck_bow,Bow,Bogen,Arc,Arco,Arco,弓,절하다,Ukłon,Arco,Поклон,Yay,弓,弓
ck_cam_distance,Distance *,Distanz *,Distance *,Distanza *,Distancia *,距離 *,거리 *,Odległość *,Distância *,Расстояние *,Mesafe *,距离 *,距離 *
ck_cam_height,Height *,Höhe *,Hauteur *,Altezza *,Altura *,身長 *,키 *,Wysokość *,Altura *,Высота *,Yükseklik *,高度 *,高度 *
ck_cam_offset,Side Offset *,Seitlicher Versatz *,Décalage latéral *,Offset laterale *,Desplazamiento lateral *,サイドオフセット *,측면 오프셋 *,Przesunięcie boczne *,Deslocamento lateral *,Смещение по бокам *,Yan Ofset *,侧偏移量*,側偏移量*
ck_cam_pitch,Pitch *,Tonhöhe *,Pas *,Pece *,Paso *,ピッチ *,정점 *,Poziom *,Tom *,Подача *,Saha *,沥青 *,瀝青 *
ck_cam_rotation,Rotation *,Drehung *,Rotation *,Rotazione *,Rotación *,回転 *,회전 *,Obrót *,Rotação *,Вращение *,Dönme *,旋转*,旋轉*
ck_cam_smoothing,Smoothing,Glättung,Lissage,Levigatura,Suavizado,スムージング,스무딩,Wygładzanie,Suavização,Сглаживание,Pürüzsüzleştirme,平滑,平滑
ck_cam_tilt,Tilt *,Neigung *,Inclinaison *,Inclinazione *,Inclinación *,傾き*,기울기 *,Nachylenie *,Inclinação *,Наклон *,Eğim *,倾斜*,傾斜*
ck_cam_xoffset,Side Offset *,Seitlicher Versatz *,Décalage latéral *,Offset laterale *,Desplazamiento lateral *,サイドオフセット *,측면 오프셋 *,Przesunięcie boczne *,Deslocamento lateral *,Смещение по бокам *,Yan Ofset *,侧偏移量*,側偏移量*
ck_cam_yaw,Yaw *,Gierbewegung *,Yaw *,Imbardata *,Guiñada *,ヨー*,요우 *,Ziewać *,Guinada *,Рывок *,Yaw *,偏航*,偏航*
ck_camera,Camera,Kamera,Caméra,Telecamera,Cámara,カメラ,카메라,Kamera,Câmera,Камера,Kamera,相机,相機
ck_camera_label,Camera:,Kamera:,Caméra:,Telecamera:,Cámara:,カメラ：,카메라:,Kamera:,Câmera:,Камера:,Kamera:,相机：,相機：
