Key,english,german,french,italian,spanish,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ck_active_triggers_desc,Only enabled triggers can cause cinematics,,,,,,,,,,,,
ck_all_cinematics_disabled,All cinematic effects are disabled.,,,,,,,,,,,,
ck_apply_to_bk,Basic Kill,,,,,,,,,,,,
ck_apply_to_triggers,Triggers,,,,,,,,,,,,
ck_auto,Auto,,,,,,,,,,,,
ck_basic_kill_fp,BASIC KILL,,,,,,,,,,,,
ck_basic_kill_label,Basic Kill:,,,,,,,,,,,,
ck_bk_disabled_hint,Basic Kill is disabled in Main tab,,,,,,,,,,,,
ck_blood,Blood,,,,,,,,,,,,
ck_both,Both,,,,,,,,,,,,
ck_bow,Bow,,,,,,,,,,,,
ck_cam_distance,Distance *,,,,,,,,,,,,
ck_cam_height,Height *,,,,,,,,,,,,
ck_cam_offset,Side Offset *,,,,,,,,,,,,
ck_cam_pitch,Pitch *,,,,,,,,,,,,
ck_cam_rotation,Rotation *,,,,,,,,,,,,
ck_cam_smoothing,Smoothing,,,,,,,,,,,,
ck_cam_tilt,Tilt *,,,,,,,,,,,,
ck_cam_xoffset,Side Offset *,,,,,,,,,,,,
ck_cam_yaw,Yaw *,,,,,,,,,,,,
ck_camera,Camera,,,,,,,,,,,,
ck_camera_label,Camera:,,,,,,,,,,,,
ck_camera_tip,Tip: Pause during a projectile cinematic to tweak sliders and see changes in real-time.,,,,,,,,,,,,
ck_chance,Chance *,,,,,,,,,,,,
ck_cinematics_disabled,CINEMATICS DISABLED,,,,,,,,,,,,
ck_cooldown,Cooldown,,,,,,,,,,,,
ck_custom_positioning,Custom Positioning,,,,,,,,,,,,
ck_delete,X,,,,,,,,,,,,
ck_defaults,defaults,,,,,,,,,,,,
ck_desaturation,DESATURATION,,,,,,,,,,,,
ck_detection_height,Detection Height,,,,,,,,,,,,
ck_disabled,DISABLED,,,,,,,,,,,,
ck_duration,Duration *,,,,,,,,,,,,
ck_duration_label,Duration,,,,,,,,,,,,
ck_enable_basic_kill,Enable Basic Kill,,,,,,,,,,,,
ck_enable_cinematics,Enable Cinematics,,,,,,,,,,,,
ck_enable_cinematics_camera_hint,Enable Cinematics in the Main tab to configure camera.,,,,,,,,,,,,
ck_enable_cinematics_effects_hint,Enable Cinematics in Main tab to access Effects settings.,,,,,,,,,,,,
ck_enable_cinematics_hud_hint,Enable Cinematics in Main tab to access HUD settings.,,,,,,,,,,,,
ck_enable_cinematics_triggers_hint,Enable Cinematics in the Main tab to configure triggers.,,,,,,,,,,,,
ck_enable_in_main_tab_summary,Enable Cinematics in the Main tab to see current settings.,,,,,,,,,,,,
ck_enable_triggers,Enable Special Triggers,,,,,,,,,,,,
ck_enable_triggers_hint,Enable Special Triggers in Main tab first.,,,,,,,,,,,,
ck_enabled,ENABLED,,,,,,,,,,,,
ck_enemy_scan_radius,Enemy Scan Radius,,,,,,,,,,,,
ck_explosive,Explosive,,,,,,,,,,,,
ck_export_settings,Export Settings,,,,,,,,,,,,
ck_first_person,First Person,,,,,,,,,,,,
ck_first_person_camera,First Person Camera,,,,,,,,,,,,
ck_first_person_only,First Person Only,,,,,,,,,,,,
ck_first_person_percent,First Person %,,,,,,,,,,,,
ck_fov,FOV,,,,,,,,,,,,
ck_fov_mode,FOV Mode,,,,,,,,,,,,
ck_fp,FP,,,,,,,,,,,,
ck_fp_disabled_hint,First Person Camera is disabled in Main tab,,,,,,,,,,,,
ck_fp_disabled_triggers_hint,First Person Camera is disabled for triggers in Main tab,,,,,,,,,,,,
ck_fp_only,FP Only,,,,,,,,,,,,
ck_fp_settings_for_basic,First person camera settings for normal kills,,,,,,,,,,,,
ck_fp_settings_for_triggers,First person camera settings for special trigger kills,,,,,,,,,,,,
ck_hidden_elements,"Hidden: Crosshair, Compass, Health, etc.",,,,,,,,,,,,
ck_import_settings,Import Settings,,,,,,,,,,,,
ck_in,In,,,,,,,,,,,,
ck_indoor_outdoor_desc,"Indoors → First Person, Outdoors → Projectile",,,,,,,,,,,,
ck_killstreak_kills,Kills Required,,,,,,,,,,,,
ck_killstreak_window,Time Window,,,,,,,,,,,,
ck_load,Load,,,,,,,,,,,,
ck_long_range_distance,Long Range Distance,,,,,,,,,,,,
